swarm_number,particle_number,x,y,function_value
2,9, 2.5039677 ,-1.89646396,-0.9189526563445845
3,0, 2.50159445,-1.90330453,-0.9189452642934232
3,1, 2.50113838,-1.90199103,-0.9189411632554807
3,2, 2.50096035,-1.90184852,-0.9189407028409086
3,3, 2.5014565 ,-1.90327095,-0.9189449434691018
3,4, 2.50094588,-1.90303874,-0.9189435975085712
3,5, 2.50113757,-1.90338185,-0.9189448986988416
3,6, 2.50063503,-1.90273961,-0.9189424875786039
3,7, 2.50155341,-1.90221832,-0.9189422002246379
3,8, 2.50045404,-1.90239069,-0.9189414939702022
3,9, 2.500164,-1.902335,-0.9189412727656922
4,0, 2.51044771,-1.874684  ,-0.9193135603449826
4,1, 2.51935141,-1.87807593,-0.9193661040435078
4,2, 2.52291065,-1.87551594,-0.9195007166920444
4,3, 2.52231766,-1.87451597,-0.9195122899545686
4,4, 2.51826614,-1.87779439,-0.9193519035082798
4,5, 2.52224876,-1.87493528,-0.9195001569507663
4,6, 2.52170176,-1.88483994,-0.9192889302280425
